Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Colorectal Carcinoma	242/2931	2.43545736454954e-24	1.39527352415043e-20	242	0.0825656772432617	TFRC;MIR429;SPINT2;TMEM97;ENO1;AQP5;MKI67;SMC4;SOX17;CHEK2;STMN1;CHEK1;RCC1;SOX4;EPHA7;CXADR;NUP210;OVOL2;SULT2B1;CLDN4;CLDN3;HOXB9;SPINT1;CLDN7;MT1G;PRR15;TRIB3;EPHA1;IDO1;SHMT2;CRABP1;PLA2G3;LPAR2;PIK3R3;TGFA;MST1R;HSD11B2;LDHA;PPP4C;RACGAP1;STC2;B4GALNT3;PROM1;S100A11;SLC19A1;PLK4;ST14;CHKA;RCC2;XRCC2;PLK1;NBEAL2;CDC7;BRI3BP;NR2F6;SMARCA4;SNHG3;TPX2;VANGL2;FASN;MYO5B;SDC1;CALR;CD24;EZH2;TOP2A;GPI;FEN1;CITED4;HILPDA;KRT23;ADM;ESM1;MECOM;ENC1;PBK;TK1;DLGAP5;COX8A;VAV3;HELLS;TPI1;ANO9;KIF23;KIF22;NME1;MMP12;MMP11;CEACAM1;GPRC5A;CDCP1;PAX8;INCENP;CKS2;KIF2C;PCNA;TMPRSS4;GCNT1;TYMS;CENPA;SLC7A1;COX5A;ASCL2;CST1;EPCAM;SPP1;MSX1;SPDEF;MICB;NQO1;GDF11;EGLN3;CDKN2A;GDF15;GRHL2;MAD2L2;CENPE;CENPH;ZDHHC9;KIF26B;F2RL1;HDGF;LAMTOR2;APBA2;MAD2L1;STEAP3;DSCC1;BUB1B;MSI1;CXCL14;SAT1;FADS2;PTTG1;CDH1;NEK2;NRCAM;KPNA2;PITX1;RNF43;MSX2;CNPY2;CDC25C;CDC25A;SGO1;MYCN;CCNE1;FANCD2;PGP;DSC2;XPR1;ABCG1;FBN2;DNMT1;TACSTD2;HMMR;HOXB13;FUT2;RAP1GAP;FAM83H;CCNB1;EBP;ORC6;NACC1;EIF4EBP1;PMAIP1;THEM6;RHPN2;ECT2;FAM83D;STRA6;TFAP2A;UBE2C;SLC52A2;IDH1;IDH2;HMGA1;FANCA;TNFRSF10B;GGH;TMPRSS13;KIF18A;TP53I3;FGF18;GNAS;CDK1;TCF3;RNF183;DHCR7;NAA40;B4GALT1;SLC2A1;SIX1;FOXM1;HAPLN1;EXO1;MDK;CASP6;PSD4;ZIC1;DNMT3B;CA9;CA8;ABCC3;ABCC1;NAV2;MMP9;CCNA2;CCNA1;PKM;SAPCD2;ESRP2;SCGB2A1;ESRP1;IRF7;BIRC5;DTL;GAPDH;INA;UHRF1;LAMA1;LEF1;TTK;HMGCR;AURKB;AURKA;MUC1;ERBB3;POLD1;E2F1;E2F2;E2F3;BUB1;CTHRC1;GALNT6;MARCKSL1;RRM2;BNIP3;HSPE1;SCD;CDK2AP2;PTPN6;NECTIN1
Neoplasm Metastasis	293/3920	4.05767343055728e-23	1.16232055418313e-19	293	0.0747448979591837	TFRC;MIR429;SPINT2;TMEM97;ENO1;AQP5;F11R;MKI67;SMC4;CDC20;SOX17;CHEK2;STMN1;RPS6KA1;CHEK1;PCLAF;PRSS8;GTSE1;PRSS2;SOX4;MFSD2A;HES6;EPHA7;CXADR;KRT8;OVOL2;CLDN4;CLDN3;HOXB9;SPINT1;MTHFD2;CLDN7;GPR160;MT1G;MT1H;TRIB3;EPHA1;HOXB8;PRR11;IDO1;LLGL2;GRB7;IGSF8;CDCA2;LPAR2;PIK3R3;TGFA;MST1R;SKA3;IQGAP3;SKA1;LDHA;PPP4C;RACGAP1;STC2;MYO6;SFN;PROM1;RAB11FIP4;S100A11;SLC19A1;PLK4;ST14;CHKA;RCC2;PLK1;NBEAL2;CDC6;BRI3BP;SMARCA4;SQLE;TPX2;VANGL2;SLC6A8;ARTN;FASN;NMU;SDC1;CALR;CD24;EZH2;APOBEC3B;TOP2A;PIGR;GPI;FEN1;KIF14;LPCAT1;ADM;PRSS22;WFDC2;ESM1;CHAF1A;FLVCR1;PBK;RAC3;DLGAP5;CEP55;COX8A;VAV3;SREBF1;HELLS;TPI1;TNNC1;ANO9;KIF22;GFRA3;NME1;MMP12;MMP11;SLC7A5;CEACAM1;GPRC5A;CDCP1;PAX8;KIFC1;TMSB15A;CKS2;KIF2C;ANGPTL4;TKT;PCNA;TMPRSS4;TMPRSS2;TYMS;COX5A;ASCL2;NKD2;RECQL4;CST1;EPCAM;UCP2;NSD2;SPP1;GCNT2;PRAME;MSX1;SPDEF;MICB;GINS2;NQO1;CENPW;GOLM1;CDKN2A;GDF15;ATAD2;ELP3;GRHL2;PPP1CA;CENPF;KRT18;FABP5;CENPH;KIF26B;F2RL1;RPL22L1;HDGF;TRIP13;CDKN3;FOXA2;MAD2L1;FOXA1;BUB1B;MSI1;PLOD1;CXCL14;SAT1;TM7SF2;FADS2;LAPTM4B;GRB14;PTTG1;CDH1;KPNA2;PHLDA2;SLC16A3;LARGE2;TMSB10;SLC39A4;TPD52;S100A2;ATAD3A;CDC25A;MYCN;CCNE1;FANCD2;PKP3;SNRPF;MIR210HG;DSC2;XPR1;FBN2;LRRC59;DNMT1;DLX5;DLX6;TACSTD2;HMMR;FUT2;RAP1GAP;BCL2L12;CCNB2;CCNB1;NACC1;EIF4EBP1;CLSPN;ECT2;FAM83D;TFAP2A;UBE2C;SLC52A2;CBX2;IDH1;IDH2;HMGA1;TNFRSF10B;ISG15;TMPRSS13;MT3;EFNA3;KIF18A;DIAPH3;CDK5;UBE2S;UBE2T;CDK1;VPS9D1-AS1;TCF3;RNF183;SLC2A1;SIX1;FOXM1;HK2;EXO1;MDK;PPP1R13L;CA2;DNMT3B;MYBL2;CA9;DSP;ABCC3;ABCC1;LSR;MMP9;CCNA2;CCNA1;PKM;ELF3;TRAF4;ESPL1;ESRP2;ESRP1;IRF7;BIRC5;SCGB2A2;GAPDH;INA;TNFRSF21;MCM2;UHRF1;LEF1;TTK;AURKB;AURKA;MUC1;MIEN1;RAB25;ERBB3;POLD1;E2F1;E2F2;MAL2;E2F3;BUB1;CTHRC1;MARCKSL1;RRM2;MYO10;SPAG5;EYA2;BNIP3;SPAG4;HSPE1;SHCBP1;MAPK13;RAD51;PSAT1;SCD;PTPN6;P4HB;RAB17;NECTIN1
Colorectal Neoplasms	121/1073	3.45034213082125e-22	6.58900335582499e-19	121	0.112767940354147	TFRC;DSCC1;BUB1B;FZD10;TMEM97;MKI67;SAT1;FADS2;SOX17;PTTG1;CDH1;CHEK2;STMN1;CHEK1;NRCAM;PRSS2;SOX4;TPD52;RNF43;CXADR;CNPY2;CDC25C;OVOL2;SGO1;CLDN4;CLDN3;SPINT1;FANCD2;CLDN7;EPHA1;DSC2;ABCG1;IDO1;FBN2;DNMT1;TACSTD2;TGFA;MST1R;HMMR;HOXB13;HSD11B2;CCNB1;PMAIP1;SFN;RHPN2;PROM1;S100A11;SLC19A1;TFAP2A;ST14;CHKA;IDH1;PLK1;IDH2;TNFRSF10B;GGH;RFXANK;NR2F6;GNAS;CDK1;SDC1;CALR;CD24;SLC26A6;TOP2A;GPI;FEN1;B4GALT1;MCM7;SLC2A1;ADM;FOXM1;HAPLN1;ESM1;EXO1;CASP6;PBK;DNMT3B;MYBL2;CA9;TK1;ABCC3;ABCC1;SORD;LSR;MMP9;NME1;CCNA2;MMP11;PKM;PAX8;BIRC5;KIF2C;GAPDH;MCM2;PCNA;LAMA1;LEF1;TMPRSS2;TYMS;CENPA;AURKA;MUC1;ERBB3;EPCAM;POLD1;BUB1;SPDEF;NQO1;GDF11;RRM2;CDKN2A;GDF15;BNIP3;HSPE1;MAD2L2;KRT18;CENPH;ZDHHC9;PSAT1;MAD2L1
Malignant tumor of colon	181/2001	5.49578139869901e-22	7.87133290828666e-19	181	0.0904547726136932	TFRC;MSI1;MIR429;ENO1;AQP5;MKI67;SAT1;TM7SF2;LAPTM4B;SOX17;PTTG1;CDH1;CHEK2;RPS6KA1;CHEK1;PCLAF;NRCAM;KPNA2;RNF43;EPHA7;CXADR;KRT8;CDC25C;ATAD3A;CDC25A;ASRGL1;SGO1;CLDN3;MYCN;SPINT1;CLDN7;MT1F;EPHA1;DSC2;XPR1;IDO1;FBN2;LRRC59;DNMT1;SLC26A2;CRABP1;TACSTD2;PLA2G3;LPAR2;TGFA;MST1R;HMMR;HOXB13;RAP1GAP;BCL2L12;HSD11B2;CCNB1;EBP;LDHA;ORC6;EIF4EBP1;B4GALNT3;PROM1;SAC3D1;SLC19A1;MAP2K6;TFAP2A;PLK4;ST14;CHKA;XRCC2;SLC52A2;IDH1;PLK1;HMGA1;TNFRSF10B;NR2F6;TPX2;SLC6A8;CDK5;FASN;FGF19;NOXA1;FGF18;GNAS;CDK1;SDC1;CALR;DHCR7;ALPG;EZH2;ARHGAP11A;TOP2A;PIGR;GPI;NAA40;MCM7;SLC2A1;KRT23;ADM;FOXM1;PRSS22;HK2;HAPLN1;LMNB1;CHAF1A;MECOM;MDK;PPP1R13L;CA2;CASP6;ENC1;ZIC1;PBK;DNMT3B;CA9;CA8;COX8A;ABCC3;ABCC1;EDN2;LSR;KIF22;NAV2;MMP9;NME1;MMP12;CCNA2;CEACAM1;GPRC5A;PKM;CDCP1;SCGB2A1;ESRP1;BIRC5;DSG2;KIF2C;DTL;GAPDH;MCM2;DTYMK;PCNA;UHRF1;LAMA1;TMPRSS4;LEF1;PPM1H;IER5L;HMGCR;TYMS;SLC7A1;COX5A;ASCL2;AURKB;AURKA;CST1;MUC1;RAB25;ERBB3;EPCAM;POLD1;UCP2;SPP1;E2F1;GCNT2;MEST;BUB1;SPDEF;CTHRC1;NQO1;EGLN3;MARCKSL1;CDKN2A;GDF15;BNIP3;KLK14;TBX18;MAD2L2;RAD51;SCD;F2RL1;PTPN6;HDGF;S100P;NECTIN4;CDKN3
Colon Carcinoma	186/2091	8.42562250017898e-22	9.65407826070507e-19	186	0.0889526542324247	TFRC;BUB1B;MSI1;MIR429;ENO1;AQP5;SAT1;TM7SF2;LAPTM4B;PNP;SOX17;PTTG1;CDH1;CHEK2;RPS6KA1;CHEK1;PCLAF;NRCAM;KPNA2;SOX4;HES6;RNF43;EPHA7;CXADR;KRT8;CDC25C;ATAD3A;CDC25A;ASRGL1;SGO1;CLDN3;SPINT1;CLDN7;MT1F;EPHA1;DSC2;XPR1;IDO1;FBN2;LRRC59;DNMT1;SLC26A2;TACSTD2;PLA2G3;LPAR2;TGFA;MST1R;HMMR;HOXB13;FUT2;RAP1GAP;BCL2L12;HSD11B2;CCNB1;EBP;LDHA;ORC6;EIF4EBP1;SFN;B4GALNT3;PROM1;SAC3D1;STRA6;TFAP2A;PLK4;ST14;CHKA;UBE2C;XRCC2;SLC52A2;IDH1;PLK1;HMGA1;TNFRSF10B;NDC80;NR2F6;SMARCA4;TPX2;CDK5;FASN;FGF19;NOXA1;FGF18;GNAS;CDK1;SDC1;CALR;DHCR7;ALPG;EZH2;TOP2A;PIGR;GPI;NAA40;MCM7;SLC2A1;KRT23;ADM;FOXM1;PRSS22;HK2;HAPLN1;LMNB1;CHAF1A;MECOM;MDK;PPP1R13L;CA2;CASP6;ENC1;ZIC1;PBK;DNMT3B;CA9;CA8;DSP;COX8A;ABCC3;ABCC1;EDN2;LSR;KIF22;MMP9;NME1;CCNA2;CEACAM1;GPRC5A;PKM;CDCP1;SCGB2A1;ESRP1;BIRC5;DSG2;KIF2C;DTL;GAPDH;MCM2;DTYMK;PCNA;UHRF1;LAMA1;TMPRSS4;GCNT1;LEF1;PPM1H;IER5L;HMGCR;TYMS;SLC7A1;COX5A;ASCL2;AURKB;AURKA;CST1;MUC1;RAB25;ERBB3;EPCAM;POLD1;UCP2;SPP1;E2F1;GCNT2;MEST;BUB1;SPDEF;CTHRC1;GINS1;NQO1;MARCKSL1;CDKN2A;GDF15;BNIP3;KLK14;TBX18;MAD2L2;RAD51;KRT18;SCD;F2RL1;PTPN6;S100P;NECTIN4;CDKN3;FOXA2;MAD2L1
Carcinogenesis	293/4065	1.22082844293048e-20	1.05697959463527e-17	293	0.0720787207872079	TFRC;MIR429;SPINT2;ENO1;AQP5;MKI67;SMC4;CDC20;PNP;FRAT2;SOX17;CHEK2;STMN1;RPS6KA1;CHEK1;PCLAF;CKMT1B;CHAC1;SOX4;EPHA7;CXADR;NUP210;KRT8;ESCO2;OVOL2;CLDN4;CLDN3;HOXB9;CLDN7;MT1F;JTB;MT1G;TRIB3;KIF20A;EPHA1;PRR11;IDO1;LLGL2;GRB7;CDCA3;CRABP1;CDCA7;LPAR2;PIK3R3;TGFA;MST1R;WDR62;SKA3;IQGAP3;SKA1;HSD11B2;LDHA;SFN;PROM1;CDT1;ST14;CHKA;XRCC2;PLK1;CDC7;CDC6;BRI3BP;SMARCA4;ANLN;SQLE;TPX2;VANGL2;FASN;MYO5B;NMU;SDC1;CALR;CD24;EZH2;APOBEC3B;CDK16;TOP2A;PIGR;GPI;FEN1;CITED4;KIF14;ADM;PRSS22;WFDC2;ESM1;CHAF1A;MECOM;ENC1;PBK;RAC3;DLGAP5;CEP55;COX8A;SREBF1;RIPK4;ANO9;NME1;MMP11;SLC7A5;CEACAM1;GPRC5A;CDCP1;PAX8;TET3;CKS2;DEPDC1;KIF2C;ANGPTL4;SLC29A2;PCNA;TMPRSS4;IFI6;TMPRSS2;TYMS;CENPA;COX5A;RECQL4;CST1;EPCAM;UCP2;NSD2;SPP1;MSX1;SPDEF;GINS1;NQO1;CENPW;CENPX;GOLM1;CDKN2A;GDF15;ATAD2;KLK14;GRHL2;MAD2L2;CENPE;BOP1;FABP5;CENPH;ZDHHC9;KIF26B;TACC3;F2RL1;HDGF;CDKN3;FOXA2;MAD2L1;FOXA1;RTKN;WWC1;BUB1B;MSI1;OGDHL;CXCL14;SAT1;TM7SF2;LAPTM4B;PTTG1;CDH1;NEK2;OIP5;NRCAM;KPNA2;PHLDA2;PITX1;TMSB10;TPD52;RNF43;S100A2;MSX2;CDC25C;CDC25A;TRAIP;SGO1;MELK;MYCN;CCNE1;FANCD2;TIMELESS;PKP3;DSC2;XPR1;FBN2;DNMT1;TACSTD2;HOXB13;FUT2;RAP1GAP;CCNB2;PORCN;CCNB1;EBP;NACC1;EIF4EBP1;STAP2;CLSPN;STRA6;MAP2K6;TFAP2A;UBE2C;NEK6;IDH1;IDH2;HMGA1;FANCA;TNFRSF10B;GGH;ISG15;MT3;NDC80;GGCT;EFNA3;KIF18A;KIF18B;CDK5;UBE2S;UBE2T;KIF4A;FGF19;FGF18;NFE2L3;GNAS;CDK1;MXD3;SLC25A1;MCM7;SLC2A1;HMGB3;SIX1;DBI;FOXM1;HK2;EXO1;MDK;PPP1R13L;PSD4;ZIC1;DNMT3B;MYBL2;CA9;CA8;AMH;DSP;ABCC3;ABCC1;LSR;NAV2;MMP9;CCNA2;CCNA1;PKM;ELF3;TRAF4;ESPL1;ESRP2;SCGB2A1;TBC1D7;IRF7;BIRC5;MCM4;SCGB2A2;DSG2;IRF6;GAPDH;MCM2;UHRF1;LEF1;TTK;AURKB;AURKA;MUC1;RAB25;ERBB3;POLD1;E2F1;E2F2;E2F3;BUB1;CTHRC1;E2F8;GALNT6;MARCKSL1;RRM2;EYA2;SHCBP1;RAD51;MLPH;PSAT1;SCD;PTPN6;P4HB;NECTIN4
Malignant neoplasm of ovary	179/2026	1.2914744567022e-20	1.05697959463527e-17	179	0.0883514313919052	TFRC;BUB1B;MSI1;MIR429;SPINT2;TMEM97;AQP5;MKI67;SAT1;TM7SF2;LAPTM4B;BAIAP2L1;CDH1;CHEK2;STMN1;RPS6KA1;CHEK1;PCLAF;NEK2;PRSS8;CHAC1;TMSB10;TPD52;HES6;RNF43;CXADR;MSX2;CDC25C;CDC25A;ASRGL1;CLDN4;CLDN3;HOXB9;MYCN;SPINT1;ZNF93;CCNE1;FANCD2;CLDN7;CHMP4C;DNA2;EPHA1;IDO1;FBN2;GRB7;PFKFB4;DNMT1;DLX5;TACSTD2;LPAR2;PIK3R3;TGFA;MST1R;HOXB13;FUT2;BCL2L12;CCNB1;LDHA;STC2;MYO6;NACC1;EIF4EBP1;PMAIP1;PROM1;S100A11;MAP2K6;TFAP2A;CDT1;ST14;STIL;CHKA;XRCC2;SLC52A2;PLK1;HMGA1;FANCA;TNFRSF10B;CDC7;NDC80;SMARCA4;GGCT;DIAPH3;CDK5;FASN;FGF18;GNAS;CDK1;CD24;EZH2;APOBEC3B;TOP2A;GPI;FEN1;KIF14;SLC2A1;SIX1;ADM;FOXM1;PRSS22;WFDC2;HK2;CHAF1A;MECOM;MDK;PPP1R13L;PSD4;ZIC1;DNMT3B;AMH;CEP55;COX8A;VAV3;ABCC1;EGFL6;KIF22;MMP9;NME1;CCNA2;CNKSR1;ASPM;PKM;CDCP1;ELF3;PAX8;ESPL1;KIFC1;SCGB2A1;TET3;BIRC5;SCGB2A2;KIF2C;TKT;DTL;GAPDH;TNFRSF21;PCNA;UHRF1;TMPRSS4;TYMS;COX5A;AGPAT2;AURKB;AURKA;MUC1;RAB25;ERBB3;EPCAM;POLD1;SPP1;E2F1;E2F2;RAD54L;E2F3;MEST;SPDEF;E2F8;GALNT6;NQO1;MARCKSL1;RRM2;EYA2;CDKN2A;GDF15;BNIP3;KLK14;HSPE1;GRHL2;RAD51;KRT18;PSAT1;SCD;F2RL1;RPL22L1;PTPN6;P4HB;KCNK1;NECTIN4;CDKN3;MAD2L1
Adenocarcinoma	159/1712	2.47238599061048e-20	1.77053741752593e-17	159	0.0928738317757009	FOXA1;JPT1;BUB1B;SPINT2;ENO1;MKI67;CXCL14;LAPTM4B;PTTG1;CREB3L4;CDH1;CHEK2;STMN1;RPS6KA1;CHEK1;PCLAF;PITX1;SLC16A3;TMSB10;SOX4;MFSD2A;RNF43;CXADR;S100A2;KRT8;CDC25A;CLDN4;CLDN3;MYCN;SPINT1;CCNE1;CLDN7;PGP;EPHA1;DSC2;XPR1;GRB7;DNMT1;TACSTD2;PLA2G3;TGFA;MST1R;HOXB13;CCNB2;LDHA;NACC1;SFN;ECT2;PROM1;S100A11;SLC19A1;TFAP2A;ST14;STIL;UBE2C;XRCC2;IDH1;PLK1;IDH2;HMGA1;TNFRSF10B;GGH;TMPRSS13;MT3;SMARCA4;GGCT;FASN;NOXA1;GNAS;CDK1;SDC1;CALR;CD24;EZH2;APOBEC3B;TOP2A;PIGR;B4GALT1;KIF14;LPCAT1;SLC2A1;KRT23;SIX1;ADM;FOXM1;EXO1;CA2;NUF2;DNMT3B;CA9;CA8;DSP;COX8A;ABCC1;TPI1;TNNC1;CKAP2;MMP9;NME1;MMP12;CCNA2;SLC7A5;CEACAM1;GPRC5A;PKM;CDCP1;ELF3;PAX8;TRAF4;KIFC1;BIRC5;MCM4;SCGB2A2;GAPDH;MCM2;PCNA;TMPRSS4;GCNT1;PPM1H;TMPRSS2;TYMS;CENPA;AURKB;AURKA;MUC1;MARVELD2;RAB25;ERBB3;EPCAM;MARVELD3;SPP1;E2F1;PRAME;E2F3;MEST;BUB1;SPDEF;NQO1;RRM2;EYA2;CDKN2A;BNIP3;GSR;KLK14;RAD51;KRT18;ZDHHC9;PSAT1;SCD;CDK2AP2;F2RL1;S100P;LAMTOR2;OCIAD2;NECTIN4;APBA2;CDKN3;MAD2L1;NECTIN1
Ovarian Carcinoma	188/2203	5.05422151571543e-20	3.21729278483708e-17	188	0.0853381752156151	TFRC;BUB1B;MSI1;MIR429;SPINT2;TMEM97;AQP5;MKI67;SAT1;TM7SF2;LAPTM4B;BAIAP2L1;PTTG1;CDH1;CHEK2;STMN1;RPS6KA1;CHEK1;PCLAF;NEK2;PRSS8;CHAC1;TMSB10;TPD52;HES6;RNF43;CXADR;MSX2;KRT8;CDC25A;ASRGL1;CLDN4;CLDN3;MYCN;SPINT1;ZNF93;CCNE1;FANCD2;CLDN7;CHMP4C;DNA2;EPHA1;IDO1;FBN2;GRB7;PFKFB4;DNMT1;DLX5;TACSTD2;LPAR2;PIK3R3;TGFA;MST1R;HOXB13;FUT2;BCL2L12;CCNB1;LDHA;STC2;MYO6;NACC1;EIF4EBP1;PMAIP1;CLSPN;PROM1;S100A11;MAP2K6;TFAP2A;CDT1;ST14;STIL;CHKA;UBE2C;XRCC2;SLC52A2;PLK1;HMGA1;FANCA;TNFRSF10B;CDC7;NDC80;SMARCA4;GGCT;DIAPH3;CDK5;FASN;FGF18;GNAS;CDK1;SDC1;PSMG1;CALR;TCF3;CD24;EZH2;APOBEC3B;TOP2A;GPI;FEN1;KIF14;SLC2A1;SIX1;ADM;FOXM1;PRSS22;WFDC2;HK2;TUBA1C;CHAF1A;MECOM;MDK;PPP1R13L;PSD4;ZIC1;DNMT3B;AMH;CEP55;COX8A;VAV3;ABCC1;EGFL6;KIF22;MMP9;NME1;CCNA2;CNKSR1;ASPM;PKM;CDCP1;ELF3;PAX8;ESPL1;KIFC1;SCGB2A1;TET3;BIRC5;SCGB2A2;KIF2C;ANGPTL4;TKT;DTL;GAPDH;TNFRSF21;PCNA;UHRF1;TMPRSS4;TYMS;SLC7A1;COX5A;AGPAT2;AURKB;AURKA;MUC1;RAB25;ERBB3;EPCAM;POLD1;SPP1;E2F1;E2F2;RAD54L;E2F3;MEST;SPDEF;E2F8;GALNT6;NQO1;MARCKSL1;RRM2;EYA2;CDKN2A;GDF15;BNIP3;KLK14;HSPE1;GRHL2;RAD51;FRAS1;KRT18;PSAT1;SCD;F2RL1;RPL22L1;PTPN6;KCNK1;NECTIN4;CDKN3;MAD2L1
Malignant neoplasm of lung	201/2449	1.57021646713401e-19	8.99577014021077e-17	201	0.0820743160473663	TFRC;ENO1;AQP5;CDC20;SOX17;CHEK2;STMN1;RPS6KA1;CHEK1;PCLAF;SOX4;MFSD2A;EPHA7;CXADR;KRT8;MOGS;KNL1;CLDN7;JTB;MT1G;PRR11;IDO1;GRB7;SHMT2;CDCA5;CDCA8;LPAR2;PIK3R3;TGFA;MST1R;IQGAP3;LDHA;RACGAP1;MYO6;SFN;PROM1;S100A11;SLC19A1;ST14;CHKA;PLK1;CDC6;SMARCA4;ANLN;TPX2;FASN;NMU;SDC1;CD24;EZH2;TOP2A;PIGR;FEN1;CITED4;HILPDA;KIF14;LPCAT1;ADM;NUF2;PBK;COX8A;KIF23;KIF22;NME1;MMP12;MMP11;SLC7A5;CEACAM1;GPRC5A;CDCP1;KIF2C;CSTB;DTYMK;PCNA;TMPRSS4;GCNT1;TYMS;COX5A;RECQL4;EPCAM;UCP2;NSD2;SPP1;SPDEF;GINS1;NQO1;EGLN3;CENPW;CDKN2A;GDF15;ATAD2;GRHL2;PPP1CA;KRT18;F2RL1;HDGF;FOXA2;MAD2L1;FOXA1;GOLT1A;BUB1B;MSI1;CXCL14;SAT1;TM7SF2;LAPTM4B;PTTG1;CDH1;NEK2;OIP5;KPNA2;PITX1;S100A2;CDC25C;SGO1;MYCN;PGP;TIMELESS;CHMP4C;PKP3;XPR1;SLC27A4;FBN2;LRRC59;PFKFB4;DNMT1;DLX5;TACSTD2;CCNB2;PORCN;CCNB1;EBP;EIF4EBP1;PMAIP1;CLSPN;MAP2K6;TFAP2A;UBE2C;NEK6;SLC52A2;IDH2;HMGA1;TNFRSF10B;TMPRSS13;NDC80;GGCT;EFNA3;CDK5;UBE2S;KIF4A;CDK1;DHCR7;SLC2A1;FOXM1;HK2;HAPLN1;EXO1;MDK;PPP1R13L;CA2;PSD4;ZIC1;DNMT3B;AMH;DSP;ABCC3;ABCC1;MMP9;CCNA2;CCNA1;PKM;ELF3;TRAF4;ESPL1;TBC1D7;IRF7;BIRC5;GAPDH;UHRF1;LEF1;AURKB;AURKA;MUC1;CDC45;RAB25;ERBB3;POLD1;MARVELD3;E2F1;E2F2;E2F3;BUB1;E2F8;MARCKSL1;RRM2;SPAG5;BNIP3;RAD51;SCD;NECTIN4;NECTIN1
Colorectal Cancer	247/3298	4.8052197592726e-19	2.50264581826116e-16	247	0.0748938750758035	TFRC;MIR429;FZD10;TMEM97;ENO1;AQP5;MKI67;SMC4;SOX17;CHEK2;STMN1;CHEK1;PRSS2;SOX4;EPHA7;CXADR;NUP210;KRT8;OVOL2;SULT2B1;CLDN4;CLDN3;HOXB9;SPINT1;CLDN7;MT1G;PRR15;TRIB3;EPHA1;IDO1;SHMT2;CRABP1;NCAPG;PLA2G3;LPAR2;PIK3R3;TGFA;MST1R;HSD11B2;LDHA;RACGAP1;STC2;B4GALNT3;PROM1;ZSCAN16;S100A11;SLC19A1;SPTBN2;PLK4;ST14;CHKA;HOMER2;RCC2;XRCC2;PLK1;NBEAL2;CDC7;BRI3BP;NR2F6;SMARCA4;SNHG3;TPX2;VANGL2;SLC6A8;FASN;MYO5B;SDC1;CALR;CD24;EZH2;TOP2A;GPI;FEN1;CITED4;HILPDA;KRT23;ADM;TUBA1C;ESM1;CHAF1A;MECOM;NUF2;PBK;TK1;DLGAP5;CEP55;COX8A;VAV3;HELLS;TPI1;ANO9;KIF23;KIF22;NME1;MMP12;MMP11;CEACAM1;GPRC5A;CDCP1;PAX8;INCENP;CKS2;KIF2C;PCNA;TMPRSS4;GCNT1;TYMS;CENPA;SLC7A1;COX5A;ASCL2;CST1;EPCAM;UCP2;SPP1;MSX1;SPDEF;MICB;NQO1;GDF11;EGLN3;CDKN2A;GDF15;GSR;GRHL2;MAD2L2;CENPE;CENPH;ZDHHC9;KIF26B;HDGF;APBA2;CDKN3;MAD2L1;STEAP3;DSCC1;BUB1B;MSI1;CXCL14;SAT1;FADS2;PTTG1;CDH1;NEK2;NRCAM;KPNA2;PITX1;RNF43;MSX2;HGD;CNPY2;CDC25A;SGO1;SCNN1G;MYCN;CCNE1;FANCD2;PGP;DSC2;XPR1;ABCG1;FBN2;DNMT1;TACSTD2;HMMR;HOXB13;FUT2;FAM83H;CCNB1;EBP;ORC6;EIF4EBP1;PMAIP1;THEM6;RHPN2;ECT2;FAM83D;STRA6;TFAP2A;UBE2C;SLC52A2;IDH1;IDH2;HMGA1;FANCA;TNFRSF10B;GGH;TMPRSS13;KIF18A;TP53I3;FGF18;GNAS;CDK1;TCF3;RNF183;DHCR7;NAA40;B4GALT1;SLC2A1;SIX1;FOXM1;LMNB2;HAPLN1;EXO1;MDK;CASP6;ZIC1;DNMT3B;CA9;CA8;ABCC3;ABCC1;NAV2;MMP9;CCNA2;CCNA1;PKM;SAPCD2;ESRP2;SCGB2A1;ESRP1;IRF7;BIRC5;DTL;GAPDH;UHRF1;LAMA1;LEF1;TTK;HMGCR;AURKB;AURKA;MUC1;ERBB3;POLD1;E2F1;E2F2;BUB1;CTHRC1;MARCKSL1;RRM2;BNIP3;KDF1;HSPE1;SCD;PTPN6;NECTIN1
